Dataset,Difficulty,Discrimination,Guessing Rate,Feasibility,LEH,Fisher Information,Difficulty_Rank,Discrimination_Rank,Guessing_Rank,Feasibility_Rank,LEH_Rank,Fisher Information_Rank,Total_Rank
Chinese SimpleQA,0.2655536853816667,1.4474432439533333,0.060926961600999995,0.70883831251,0.008877175451073305,0.000642541164588032,2.0,3.0,1.0,9.0,3.0,5.0,21.0
MBPP,-0.34562344056000005,1.3625206624800001,0.134546704238,0.82209458216,0.007146186885844119,0.0006846143523965619,5.0,6.0,4.0,8.0,4.0,4.0,26.0
MATH,-0.23963068616,1.5792808286328,0.067260900947,0.8290170358960001,0.005419116234681887,0.000382351609930107,4.0,1.0,2.0,7.0,7.0,10.0,27.0
TheoremQA,0.6547742019874999,1.06556073720875,0.08878002966375,0.5012030474,0.014461830779102444,0.0012911084408498874,1.0,10.0,3.0,11.0,1.0,2.0,27.0
GPQA Diamond,0.190157764540404,0.859830441131313,0.1517702354090909,0.6436796252525253,0.014220384245251471,0.0013519471420304502,3.0,11.0,6.0,10.0,2.0,1.0,30.0
MMLU,-0.8383378559910981,1.1967902168951716,0.23806627582110812,0.8921292899900299,0.0067344860919143455,0.0008103942602927937,9.0,9.0,9.0,5.0,5.0,3.0,31.0
BBH,-0.6032579264687452,1.3844815895301799,0.16566858632744583,0.8746782767224698,0.005728809094532497,0.0005915343844729885,6.0,5.0,8.0,6.0,6.0,7.0,32.0
GSM8K,-0.789845846994693,1.5254659772403336,0.14908815549507204,0.9167409391432904,0.003810004964905975,0.00038105902380642254,8.0,2.0,5.0,3.0,11.0,11.0,32.0
HellaSwag,-1.0352578477392949,1.2920389663334992,0.24491590239872538,0.9303857142481576,0.004680881379121468,0.00059590231207349,10.0,7.0,10.0,2.0,8.0,6.0,33.0
HumanEval,-0.6351178228231706,1.4459429984146341,0.1564852374695122,0.8956923290853659,0.004631774384748258,0.00046973829901400814,7.0,4.0,7.0,4.0,9.0,9.0,33.0
ARC-C,-1.1637198807661016,1.2821942474576271,0.26208205931186446,0.9480830818305085,0.004085060597430275,0.0005352561540838782,11.0,8.0,11.0,1.0,10.0,8.0,38.0
