difficulty,discrimination,guessing,feasibility
-1.7538685,1.3728256,0.30756748,0.990274
-1.5411822,1.6831038,0.17316237,0.98936266
-0.9306811,1.997674,0.05942453,0.9771911
-1.9283048,0.821574,0.57429934,0.9882516
-1.6505915,1.0863775,0.38970327,0.9850594
-1.7892305,1.0231304,0.4526432,0.9875295
-1.7202672,1.1408356,0.38624117,0.987377
-1.6044112,1.1028507,0.37120894,0.98406976
-1.5967005,1.6464974,0.19138272,0.9900086
-1.3459584,1.1917268,0.2766865,0.9771689
0.8912971,1.4318824,0.021181218,0.5253992
-0.6703112,1.3179266,0.12812985,0.9370468
-0.708001,1.2185532,0.15310836,0.93563837
-1.1643041,0.69243824,0.41827872,0.9523761
-1.3355054,0.8985536,0.3813791,0.9699781
-0.86521244,1.329797,0.15161765,0.9546959
-0.63374597,1.0650165,0.17700665,0.91766924
-0.23830953,2.086437,0.02470055,0.9335217
-0.74441665,1.2892144,0.14337799,0.9427913
-1.2892582,0.5162413,0.5254091,0.9549656
-0.57550675,1.2225658,0.13429125,0.9206473
-0.82015705,1.2530262,0.16193588,0.9479191
-0.18975674,1.4324634,0.06664169,0.8777909
-1.3633002,0.61566824,0.5045477,0.9634065
-1.3345952,0.5440475,0.52649575,0.9591703
-0.61215216,1.8047092,0.057722446,0.95412135
-1.3010033,0.6150071,0.48761362,0.95939004
-0.5716696,0.44449696,0.36081436,0.8518524
-1.221065,1.8832921,0.09529835,0.9846022
-2.2729325,0.8200093,0.66438335,0.9934829
-0.23461802,1.5159155,0.06130132,0.89317495
-0.92109877,1.0466918,0.23349732,0.94743145
-0.5241649,1.1784401,0.13625099,0.9107605
-0.9604883,1.597363,0.112813674,0.9692863
-1.7779009,1.0817713,0.42551112,0.98792726
-1.9079305,0.72614866,0.6072667,0.9867669
-0.6840872,1.1657432,0.1612583,0.93009585
-1.2471538,1.9357249,0.090372734,0.98593616
-1.8948236,0.9821971,0.49878073,0.98919976
-1.5303162,1.7510393,0.15596789,0.9897949
-0.9369484,1.9428544,0.06514385,0.9763375
-1.3918353,1.1683,0.2951018,0.97841257
