difficulty,discrimination,guessing,feasibility
-3.9023528,0.29504874,0.7308237,0.9050835
-2.301897,6.778224,0.041921023,0.9851886
2.1693199,4.6156707,0.010441549,0.72010696
-0.28089517,7.4280605,0.015400217,0.9782276
-1.1400863,8.58794,0.006718218,0.98649395
-0.793827,7.366038,0.020222856,0.98238003
-2.1631446,6.9166365,0.029510831,0.9840147
0.3460322,7.805817,0.011641918,0.97939426
6.9988513,2.2520459,0.08088077,0.42139375
4.586593,0.03404566,0.18704104,0.3171529
-0.5439586,5.9799542,0.008520032,0.9072261
-4.4040627,2.8115408,0.71760136,0.98539007
2.5252018,8.11391,0.008208614,0.9704141
-0.42953974,7.772474,0.009858487,0.9778681
6.7489057,3.559892,0.08076225,0.7052875
-2.547217,5.22969,0.0105596585,0.8891806
-2.307658,7.474138,0.015472802,0.9841398
-2.7078664,4.409007,0.016640732,0.85842013
1.7752182,8.092528,0.009154052,0.97464436
-0.8446557,1.332503,0.5020145,0.8746173
-0.12513469,4.322003,0.38598365,0.97788346
1.2666285,6.4252734,0.0064696567,0.89800894
3.8641863,4.5009584,0.16480243,0.93788797
3.9316654,5.4141803,0.0038562356,0.66203487
2.1541843,2.8844697,0.2589334,0.8589747
1.9191556,5.7739716,0.008753081,0.8535703
-0.5218884,8.081772,0.007152907,0.9787242
-5.2949595,6.9662375,0.018114379,0.98557985
2.1083643,1.9276655,0.2749781,0.74656475
-0.77764094,6.9456215,0.0035177157,0.92247045
-4.336268,4.490314,0.024822982,0.91541904
-5.3752666,7.626825,0.014465135,0.9906865
-4.494271,7.139574,0.026035152,0.98967665
2.117126,3.9626102,0.0061125844,0.52164984
-5.4227996,6.825473,0.0238057,0.98748094
-2.3454828,4.899539,0.008791699,0.84156626
4.634085,7.6098,0.015302516,0.96592784
0.09690423,4.543562,0.3619956,0.9777143
-4.4130507,3.1341407,0.71262556,0.9884
-4.66748,6.6386952,0.042163033,0.98930943
-2.7329822,3.5028813,0.59104055,0.98318326
-4.024131,0.402291,0.73308367,0.9086943
1.7479329,6.3315744,0.0060235676,0.8796352
2.3088536,0.25140613,0.30130202,0.5107773
2.0882692,8.066315,0.008904771,0.97291505
2.369885,3.003855,0.24395344,0.85682166
-0.052497,3.9360316,0.396259,0.97457165
0.7958692,4.7742333,0.003238813,0.6345339
-2.304954,7.3236094,0.018871441,0.98455507
6.9261894,6.309989,0.004029218,0.7081268
-4.2919354,5.080683,0.0120711,0.91387606
5.3550224,0.23290926,0.14878964,0.2608237
-0.7957294,0.07385471,0.53110063,0.759481
-0.1796861,1.2091619,0.4477092,0.8128756
8.457365,7.946422,0.0035928462,0.8720883
-2.671381,4.7688503,0.011421165,0.8590675
-4.8006215,2.94556,0.7389511,0.9884975
4.148948,0.37153718,0.19514835,0.35139233
-0.5708143,7.9813533,0.008517845,0.9797758
2.6466992,0.16723768,0.28448856,0.48082578
-4.157108,7.1491237,0.022165079,0.98800117
-4.1135774,4.388788,0.026416386,0.90912944
-2.2874613,7.9205356,0.010347512,0.98533034
0.7176612,-0.3369129,0.44241035,0.64865994
-0.45786482,8.381528,0.007890957,0.9841464
-2.214424,7.4483867,0.011330263,0.980183
4.8756814,3.5341809,0.004485098,0.290501
-2.245666,7.5568166,0.014382145,0.98431325
1.8803117,4.7992196,0.25113383,0.9695366
-5.3012676,7.433678,0.019991415,0.9910896
-5.347699,7.1502275,0.025293846,0.9908421
4.1572604,7.4047694,0.01248312,0.95665145
1.8951834,4.517171,0.0038558948,0.5404432
-2.7954836,5.645811,0.0039858287,0.8611833
-4.1299014,0.5445785,0.73282176,0.9117073
-3.9967036,0.39821282,0.7332425,0.911129
-0.7761021,7.726189,0.0121923685,0.9818917
-2.8366141,4.545208,0.014709467,0.8637945
1.6962378,8.213053,0.0066044875,0.9721059
-0.7372924,4.849915,0.0063375463,0.76157963
6.808238,6.3930526,0.0039112587,0.7330589
5.054153,0.35850856,0.15663227,0.2818618
2.2990785,4.4293785,0.00334489,0.5046816
0.0778413,4.1050153,0.014012819,0.7209374
-5.395683,4.6741295,0.027814817,0.9403512
-2.3614466,7.175923,0.011689147,0.9763485
-2.1905951,4.123469,0.53487545,0.98587865
1.4471074,0.83746326,0.32745802,0.5858219
2.0843523,6.8155947,0.0029013322,0.8692876
-5.43022,6.7598195,0.02566902,0.9878237
-4.548028,2.7267134,0.7270762,0.9850567
-0.32130712,2.1225398,0.39038247,0.8825428
-3.7920098,7.69809,0.007836995,0.9833445
1.8775337,6.663792,0.0036462396,0.8694379
-5.277589,2.4706492,0.773295,0.9866963
2.6726246,3.1604483,0.012968421,0.47356242
-2.4700665,7.386729,0.01886203,0.98577857
-0.4112885,7.844424,0.009248502,0.9781399
2.4552875,6.123589,0.0068585044,0.86326355
0.171512,4.7483325,0.35231265,0.97991586
0.65333956,0.20602658,0.41640645,0.653168
5.235072,5.101914,0.005319477,0.60839945
1.8831534,6.009248,0.008233181,0.8719006
-5.470363,7.6334276,0.010084688,0.9879367
-4.014076,0.37340036,0.7338018,0.9084103
-2.9931607,3.8659291,0.5971589,0.9868025
-3.8964043,7.469344,0.015674401,0.9876582
0.035572253,4.4377666,0.3692504,0.976972
6.7952695,4.0445123,0.019358674,0.56005126
-2.5568907,5.3276906,0.005752174,0.8509884
-4.4268928,3.1423295,0.7112334,0.9879397
11.5408125,4.297274,0.019600065,0.43440774
1.6273812,0.56533486,0.32946873,0.5705394
-4.8883185,7.061221,0.02682302,0.98991245
-3.7357972,8.34186,0.008096686,0.9897194
-2.6976137,0.23275909,0.65799135,0.86132103
-5.5892625,8.146713,0.0038790633,0.98430496
-0.22121991,0.52588165,0.4623504,0.7196379
4.9305696,6.6018333,0.003687874,0.7976522
-0.13072878,2.523526,0.41118684,0.9065547
-0.1771085,5.645987,0.0041700937,0.8100465
-5.49906,7.3067408,0.01293224,0.9865414
6.5508437,5.1503544,0.07857833,0.90885675
2.0059948,5.1051965,0.23895927,0.9739424
0.54911524,-0.3350378,0.45472,0.6622131
-0.8266755,4.9541507,0.0045950282,0.7555585
-3.68428,0.30732498,0.7172822,0.89819175
-0.33351243,1.7713126,0.43916368,0.85350305
1.8155297,4.857678,0.25125495,0.9694606
-1.9837146,8.051458,0.008759036,0.98461294
-2.1102562,7.765344,0.010822001,0.9836315
-5.2464013,2.3682044,0.7450452,0.9838933
-0.52441007,8.195269,0.0075187963,0.9813467
6.475362,6.124925,0.0010599061,0.47351372
1.9298043,7.7242594,0.011260233,0.97036034
-4.3350987,4.7928214,0.02023717,0.9230669
-2.3769412,7.1904435,0.020813493,0.9841622
2.948803,5.0087934,0.197159,0.9660605
1.5280992,4.174647,0.006086769,0.5732437
1.8430777,5.5360074,0.005106459,0.76962376
0.41447502,1.1172531,0.4322213,0.8472898
-4.7159104,3.352494,0.72379136,0.99031186
-0.31640774,8.434149,0.0054138713,0.98000926
-4.8024116,3.4209948,0.6573648,0.989358
-2.511485,7.1559753,0.020667301,0.98373634
-0.057689182,4.2378354,0.014141673,0.7517638
-1.724873,4.4597716,0.49392354,0.98706365
-2.0580506,0.36095765,0.606894,0.8317103
4.9487796,5.358646,0.0024034143,0.5179784
5.7238817,5.0331607,0.0137645565,0.6748846
-2.1682587,7.9356694,0.009810526,0.9849229
-1.6344779,8.158665,0.013442153,0.98658466
-4.881564,7.7060456,0.013079092,0.98994875
2.046941,2.7984364,0.26731446,0.8585659
5.291951,2.6687768,0.1018599,0.55057275
4.8678746,5.489471,0.014279458,0.8179571
3.4851503,0.9927583,0.21369405,0.47832742
5.496159,0.5733382,0.1341519,0.2508879
-2.5730834,2.5970423,0.14995502,0.85403633
-2.2511134,7.5860467,0.012893378,0.98370486
-4.6047816,3.1919467,0.7233512,0.9896282
1.7565829,5.0584445,0.25128013,0.9739023
8.69055,5.676141,0.0021988081,0.43616876
2.3710127,4.2706647,0.004889228,0.5303002
-3.2268717,0.9781097,0.6708635,0.91408205
-1.9714131,-0.3069961,0.63706315,0.8278856
-2.2951403,7.5580897,0.014202804,0.9844609
-0.5725574,7.687777,0.008973233,0.9755221
2.4293952,9.238517,0.0026395384,0.97561306
-1.8482499,4.236958,0.018283209,0.81718427
-1.2750804,0.6822427,0.5316862,0.7887024
-0.3010893,6.0544925,0.0054132994,0.88412064
2.9129252,3.3946078,0.21321534,0.87796795
-0.58869034,0.70210475,0.4794845,0.745081
-2.1280909,7.5459003,0.014753235,0.98388207
-1.3773096,6.153957,0.006566936,0.9153435
1.6873478,7.746277,0.0110498145,0.97166944
1.6026363,3.2948442,0.28266883,0.9046235
4.985293,5.328238,0.1169273,0.94924265
-5.1492095,2.6763837,0.76296246,0.9878158
-4.138864,3.1518366,0.6936566,0.98690134
-0.4977622,4.4504533,0.00822611,0.73395926
1.8366709,4.928855,0.25056055,0.97189146
-0.40696144,6.1424975,0.005306567,0.88768125
1.4719138,7.989727,0.008560807,0.97287714
2.11691,2.2762787,0.26860893,0.78997093
0.18396454,2.539103,0.3886601,0.89816326
2.6848688,8.199319,0.007381294,0.97333795
-2.9789953,7.9411416,0.010814062,0.9876423
1.8183801,8.23781,0.0070542158,0.97350556
-4.5703473,7.546832,0.01456654,0.98885196
8.6599455,3.167002,0.0020163637,0.09635441
-2.4369617,0.18310457,0.6429479,0.84989196
5.496473,0.46458188,0.13708344,0.25098243
8.293137,5.936136,0.0020205125,0.48074147
-3.8996522,0.44285175,0.7238994,0.9049289
7.4800315,3.42214,0.06978036,0.67919177
3.0417953,3.7221391,0.0077500497,0.46400648
-4.950009,2.879825,0.74708587,0.98814976
-0.49907088,7.7527013,0.009603464,0.97742313
-1.0435907,7.9529567,0.010903558,0.983585
-4.177871,6.855329,0.03897976,0.9897864
-0.58750504,7.6013923,0.011980128,0.9783609
1.9108261,6.472447,0.0059433565,0.88426137
4.867994,6.308493,0.004319589,0.7809743
0.23173033,3.6475189,0.3840209,0.967162
-2.142253,0.99710494,0.6004572,0.88988465
-4.441011,3.2178469,0.71071935,0.98860276
1.610724,6.885076,0.00530432,0.9118874
-0.0077204704,7.485889,0.011951814,0.97446555
-0.6408568,7.214397,0.014133644,0.97391576
-5.428697,6.9351363,0.021483319,0.98808926
-2.8135333,4.3050895,0.355863,0.98069775
-4.4774566,7.8822627,0.009775578,0.9886846
-2.7420769,8.242376,0.0067940233,0.9854254
-2.673787,5.5151625,0.0046636616,0.85603327
-0.58672446,5.5672226,0.0025021238,0.7386806
-2.3021393,7.782518,0.011385777,0.9850531
2.5710192,-0.3575321,0.31461263,0.4882985
6.016441,3.6045234,0.0037119421,0.23161434
-3.9488642,7.538266,0.017564643,0.989234
-2.3709698,7.5218344,0.014936454,0.9847436
-4.6851845,3.0057435,0.72747725,0.98859113
2.390727,5.474749,0.21062371,0.97501117
-0.1639434,1.5264713,0.4585171,0.8867313
-2.252744,7.3944936,0.015976325,0.9835724
-0.59263515,8.184912,0.0068560555,0.9799141
-0.36848825,7.8686004,0.008562188,0.9773122
0.09889315,4.541848,0.36674416,0.9798094
-1.3253014,0.3717449,0.5531827,0.7919571
-5.5215425,6.342609,0.021945087,0.9827749
-2.4598336,7.190331,0.021416785,0.98461306
-0.19467574,2.6601293,0.4115506,0.913954
-1.3853853,-0.18097053,0.5887998,0.7959686
-0.1930726,7.794417,0.010263535,0.9782315
5.0141244,5.926986,0.003772785,0.6979691
4.9657807,3.181117,0.006846611,0.2844201
-4.851353,2.7450674,0.7454834,0.98712045
-1.8994896,2.685079,0.53961813,0.9543642
-0.53324074,7.3657913,0.021433625,0.9823366
-0.28487647,7.739862,0.010421162,0.9777625
5.06292,5.6670523,0.0123040825,0.7776887
-2.0096283,3.9751713,0.5285732,0.9845499
0.1371562,7.939794,0.009373182,0.97793895
7.949945,3.2366095,0.0026517152,0.12316199
7.8820696,4.0409627,0.0012395201,0.13906153
3.2219987,6.368308,0.0020186317,0.7341478
2.2370453,4.5269475,0.0032334111,0.5100576
-0.62056,0.33117768,0.5032493,0.7476266
6.481135,5.228794,0.078230016,0.9078318
-5.2328415,7.5371523,0.015022197,0.9901226
1.8227742,8.056141,0.007911512,0.9714551
-5.301352,7.742656,0.010145509,0.9891587
-0.8223861,0.350624,0.5171488,0.7609265
-4.132047,0.65534157,0.72791314,0.9117185
-2.2011113,5.889212,0.0050868937,0.8926409
-1.4801996,0.54372007,0.5547746,0.80074525
8.592137,5.9860377,0.0016382798,0.43782866
-5.0813932,8.086029,0.008461695,0.9898504
0.016216889,2.3784163,0.40162462,0.8886156
-4.5345,2.8908727,0.72473675,0.9870123
-4.4365,4.979179,0.015636044,0.91790247
-0.42291987,3.2425334,0.44287282,0.9675541
-0.3328033,7.891752,0.009456528,0.9789995
0.07968782,6.0398335,0.004836937,0.86926997
0.119709894,5.545176,0.011315397,0.8825385
-0.2886553,5.6296678,0.011101846,0.89257205
-0.026416078,5.200418,0.0027761261,0.69885296
-4.455677,8.076107,0.0092830965,0.98947245
-0.90013695,0.7871948,0.49736872,0.7714668
-0.14699416,6.078507,0.0077408873,0.90345734
-0.17247447,7.817979,0.010983232,0.9793602
-2.8715754,5.4309764,0.007175625,0.88560355
-3.9816456,8.075037,0.008325166,0.9877445
-4.6492877,4.875775,0.017794145,0.92348033
-0.65774894,8.252035,0.007912493,0.98291355
-0.84193844,1.4581251,0.49523374,0.9025864
-0.48778605,4.4181485,0.4051175,0.97995055
0.29969805,2.7213387,0.3749295,0.9024534
-0.44509983,8.78701,0.004539811,0.98304224
-1.1434255,6.5189567,0.06314064,0.98716044
-0.4895416,7.3178024,0.015426014,0.9770106
6.648254,5.482957,0.0030575711,0.5211159
-0.3832571,9.205443,0.0027910725,0.98251283
-0.3155111,5.9833665,0.008945979,0.9066409
-4.2666216,3.1402497,0.70142514,0.9872385
1.6372333,8.137914,0.006825953,0.97158957
-3.097869,8.15139,0.008881675,0.98630697
8.257843,6.088082,0.002231528,0.53785187
-1.7606975,0.8512236,0.55787736,0.8159465
1.5667485,5.782326,0.008504875,0.8510132
5.567547,0.370878,0.13713767,0.24635206
1.7429163,8.050095,0.007778041,0.97138536
6.8561587,6.4594784,0.00094942836,0.5358603
1.4849975,5.4440684,0.0074789557,0.8102236
2.8923466,5.5836186,0.0029411118,0.70762444
-0.4378764,1.9521625,0.45648095,0.89974946
4.9620967,6.3419642,0.006140845,0.8194044
4.972053,8.895217,0.003141399,0.95721453
1.6615605,7.881457,0.009343594,0.97160476
-0.013757173,5.0071692,0.018134698,0.87871397
1.6049259,8.132221,0.006678812,0.97196025
1.6070561,0.2600226,0.34555048,0.5970454
0.41093332,1.2995502,0.3937461,0.75691426
-0.4257679,-0.3241919,0.5265361,0.73503524
-2.7346692,4.6309123,0.012720468,0.85939467
-2.5047235,7.3427424,0.016398156,0.98366416
1.2779131,5.5151734,0.022825843,0.9086845
1.8680915,4.8947625,0.2495073,0.9710251
-2.1195676,4.3702774,0.51752645,0.9874396
1.838963,6.96927,0.004549764,0.9019025
4.9758334,4.2540584,0.00710496,0.49025515
-0.71256596,4.6967998,0.0067410166,0.748323
-2.356431,7.550619,0.014023472,0.9842181
-0.20735721,2.7199514,0.40631613,0.9097045
-5.501415,6.928247,0.015836144,0.9853356
4.621501,4.9041104,0.0037307825,0.51172954
-4.096973,3.1158838,0.6914986,0.9863209
-5.4018397,2.0296276,0.7823243,0.9807046
1.9613655,6.5092487,0.0042747427,0.86387223
-2.3433256,7.7766614,0.011115926,0.98465157
-2.4800158,3.2825954,0.58091354,0.9800616
7.884939,7.305488,0.01132415,0.92302364
-0.0704909,4.757513,0.36802155,0.9813835
1.9290464,4.9818683,0.24402474,0.9716044
-0.51774883,6.4126925,0.006356673,0.9183579
1.5497406,4.7526145,0.26977608,0.9711801
-0.5371702,7.8570824,0.0074968664,0.9755515
-2.250922,7.4683375,0.01504318,0.98390526
-0.56089807,7.6338854,0.012229468,0.9792397
-5.5435205,5.891172,0.033852216,0.9810416
2.5246673,4.3716474,0.0034468242,0.4847047
-1.397499,0.6293103,0.54378605,0.79592556
-2.1636374,4.0435643,0.5356567,0.98524064
-4.3979325,2.9725444,0.71558815,0.9872689
2.2231684,4.073969,0.25560573,0.95843273
-4.980591,7.3555875,0.02490952,0.99083835
-2.1054792,5.823321,0.04579274,0.9766193
7.0186443,-0.19750705,0.10650945,0.17277293
1.8647997,6.4247804,0.052627116,0.97226644
1.5269238,4.63442,0.27445787,0.96996856
-4.046234,7.233635,0.02209798,0.98854196
6.443548,0.29213962,0.11085768,0.19314355
-0.4444304,5.8141284,0.010481146,0.89559335
-4.1424603,0.5239113,0.73448485,0.9120762
-4.4769645,3.5715175,0.62871116,0.98913085
-0.10704142,4.562693,0.3753749,0.97935635
-4.582775,2.8654776,0.727652,0.9868831
1.8630183,7.6902776,0.012739958,0.9722724
0.051536933,5.623055,0.00821695,0.87329054
-0.9676829,4.9783397,0.006366834,0.764747
-0.042597678,6.234233,0.00527909,0.88569754
1.6332109,5.1534142,0.0054220306,0.7339138
0.00049623847,4.7839484,0.36212492,0.9810783
-3.735534,0.5146313,0.71062833,0.89974326
4.2720337,0.5873094,0.18192483,0.3411931
-0.4719141,5.079085,0.015287614,0.87807226
1.453891,8.260199,0.00566908,0.97112566
6.797042,0.22056624,0.10240559,0.17433558
-3.9968948,0.6952641,0.7074419,0.91639346
-2.4322195,7.331166,0.014934075,0.9823872
0.22184514,5.086347,0.34121197,0.98343223
