difficulty,discrimination,guessing,feasibility
-1.2510477,5.967988,0.9347548,0.92678046
-3.9492223,7.707197,0.038681492,0.9852123
-0.013130361,6.8645062,0.0650192,0.7549337
-1.4177654,7.5166764,0.031239163,0.9691778
-3.0787704,7.5101285,0.06586315,0.9821724
-1.4896256,7.5268726,0.03291899,0.9722306
-2.7598982,7.477127,0.05940325,0.97729266
-1.4119712,7.570347,0.02420607,0.9682844
1.7180256,6.832717,0.016583307,0.39575133
-0.680271,6.4392548,0.13894726,0.4192181
-1.6299471,7.312443,0.03558481,0.91980374
-1.7734555,6.1704297,0.94329816,0.9764271
0.26428705,7.393923,0.027647704,0.95244145
-1.326226,7.3316727,0.068037115,0.96972543
1.9226959,6.2936907,0.19352207,0.48980272
-3.0068622,7.2824764,0.048499994,0.91396356
-3.626438,7.6122656,0.0511941,0.9839267
-3.0769777,7.286877,0.051465232,0.9205077
0.51907766,7.381235,0.02669676,0.94980085
-0.030480498,6.5766845,0.59281486,0.96532035
-1.1416665,6.898802,0.31768644,0.9686149
0.13003007,7.127926,0.040482234,0.87967986
-0.013467694,7.1038074,0.0443268,0.8745308
0.057690166,7.040949,0.020549927,0.6503857
-0.11441692,6.688319,0.24761656,0.88779134
-0.089706145,7.203569,0.029003626,0.8728275
-1.5700649,7.4357452,0.05073543,0.97332156
-4.3171673,7.5455484,0.08272773,0.98564494
0.0034393128,6.6253977,0.19278505,0.7937346
-1.5007477,7.23793,0.042280145,0.90732205
-2.608742,6.640396,0.454812,0.9164329
-4.5165653,7.654253,0.062063552,0.98784477
-4.768648,7.6060667,0.083757944,0.98876345
0.019829666,6.8338413,0.049247954,0.64467067
-4.7892694,7.646966,0.071945645,0.98893493
-0.016113902,6.926329,0.21890679,0.9610267
0.65973485,7.082713,0.03755565,0.8536007
-1.6181971,6.9474626,0.34818453,0.9772684
-1.7584497,6.3446455,0.90085447,0.9808276
-4.819103,7.2663403,0.3183692,0.990285
